Recency,Frequency,Monetary,Segment
39,2,519.61,Occasional
8,2,1020.42,Occasional
226,1,160.54000000000002,Churned
315,1,218.45,Churned
35,5,1315.83,Occasional
34,3,626.6,Occasional
20,2,2794.51,Occasional
77,1,440.42,Occasional
246,1,415.7,Churned
39,1,197.71,Occasional
238,2,511.36,Churned
2,15,7281.38,Active valuable
3,9,2338.15,Occasional
233,2,2040.1,Churned
16,1,196.94000000000003,Occasional
7,1,144.0,Occasional
38,1,214.9,Occasional
28,2,646.68,Occasional
210,2,9864.26,Churned
316,1,452.85,Churned
91,2,437.6,Occasional
108,3,418.1,Occasional
37,10,3338.2200000000003,Occasional
50,2,618.27,Occasional
18,4,3811.22,Occasional
9,8,3023.08,Occasional
28,7,1032.58,Occasional
28,10,2599.04,Occasional
189,5,577.0600000000001,Churned
58,1,153.12,Occasional
21,1,739.1999999999999,Occasional
78,2,254.18,Occasional
59,1,1579.51,Occasional
77,3,1126.85,Occasional
22,5,2099.54,Occasional
51,1,1193.32,Occasional
73,1,704.04,Occasional
56,5,3344.38,Occasional
277,1,315.6,Churned
1,4,2291.19,Occasional
94,2,713.3,Occasional
28,1,352.98,Occasional
21,1,177.31,Occasional
15,9,3641.24,Occasional
14,3,1339.41,Occasional
1,20,13689.67,Active valuable
231,1,180.1,Churned
275,1,305.1,Churned
105,2,641.13,Occasional
211,2,2683.82,Churned
22,9,6620.4800000000005,Occasional
10,7,4478.53,Occasional
3,3,786.46,Occasional
9,2,1270.88,Occasional
56,1,640.5,Occasional
58,4,2163.98,Occasional
89,2,1689.18,Occasional
66,8,6002.9,Occasional
32,1,671.69,Occasional
238,1,486.1,Churned
23,3,1174.58,Occasional
114,1,185.9,Occasional
24,3,1013.26,Occasional
127,6,3344.64,Occasional
129,1,477.91,Occasional
33,4,1775.18,Occasional
4,2,1346.97,Occasional
21,12,3722.82,Occasional
154,1,318.05,Churned
106,3,623.51,Occasional
2,1,314.44,Occasional
334,1,114.0,Churned
330,1,919.98,Churned
148,2,2209.85,Churned
10,5,601.98,Occasional
16,5,4051.17,Occasional
10,4,1643.18,Occasional
18,1,686.05,Occasional
29,1,91.68,Occasional
10,1,245.1,Occasional
0,11,3849.78,Occasional
7,9,4881.88,Occasional
324,1,63.0,Churned
57,1,620.13,Occasional
11,4,3807.15,Occasional
150,3,2744.03,Churned
9,5,2996.05,Occasional
329,1,225.9,Churned
4,2,610.52,Occasional
38,4,1970.6,Occasional
24,6,1331.39,Occasional
41,12,17628.46,Active valuable
58,4,1113.02,Occasional
0,4,862.81,Occasional
14,22,13787.54,Active valuable
3,31,12279.82,Active valuable
3,15,8476.57,Active valuable
7,7,2283.63,Occasional
27,6,2863.08,Occasional
371,1,89.14,Churned
113,1,4873.81,Occasional
25,2,1247.61,Occasional
205,1,389.01,Churned
27,6,1035.8,Occasional
126,4,855.91,Occasional
69,2,869.67,Occasional
6,4,582.1,Occasional
28,3,957.59,Occasional
7,4,4939.99,Occasional
79,2,797.71,Occasional
19,1,219.0,Occasional
70,1,283.55,Occasional
6,8,2340.84,Occasional
14,9,6868.29,Occasional
291,1,603.42,Churned
29,10,2712.91,Occasional
14,15,9706.52,Active valuable
96,3,1149.02,Occasional
28,13,4396.13,Occasional
0,1,848.55,Occasional
8,5,4708.86,Occasional
105,1,343.36,Occasional
3,2,1053.49,Occasional
150,2,1030.98,Churned
70,1,238.25,Occasional
4,2,644.95,Occasional
2,25,5781.7300000000005,Active valuable
31,6,2656.13,Occasional
84,4,997.63,Occasional
3,5,725.07,Occasional
4,4,1031.41,Occasional
370,1,427.8,Churned
27,7,2609.1,Occasional
10,7,3980.7,Occasional
70,4,836.33,Occasional
113,1,453.01,Occasional
23,12,18895.91,Active valuable
179,1,236.26,Churned
233,1,383.95,Churned
352,1,110.4,Churned
314,2,779.5699999999999,Churned
332,1,234.0,Churned
371,1,155.35,Churned
77,2,1013.04,Occasional
63,1,427.6,Occasional
133,2,540.13,Occasional
51,7,21279.29,Active valuable
1,11,4196.01,Occasional
0,209,33053.19,VIP
3,5,4090.88,Occasional
128,1,275.88,Occasional
80,1,4366.78,Occasional
22,6,21429.39,Occasional
235,3,3010.74,Churned
280,2,3811.95,Churned
86,1,112.08,Occasional
15,13,7834.650000000001,Active valuable
116,2,2791.59,Occasional
51,3,1531.44,Occasional
7,2,1898.52,Occasional
137,2,494.08,Occasional
316,1,1693.88,Churned
3,7,6989.63,Occasional
238,1,1143.6,Churned
210,1,1351.45,Churned
59,1,892.47,Occasional
16,5,1386.04,Occasional
19,6,822.23,Occasional
37,8,3981.36,Occasional
63,2,826.74,Occasional
4,5,2330.92,Occasional
1,6,2225.91,Occasional
8,2,532.82,Occasional
363,1,311.95,Churned
9,3,463.66,Occasional
64,1,91.85,Occasional
191,1,324.92,Churned
373,1,192.6,Churned
256,1,400.54,Churned
334,2,545.48,Churned
52,2,860.41,Occasional
18,1,430.48,Occasional
365,1,254.03,Churned
9,3,6977.04,Occasional
186,1,427.58,Churned
36,3,483.65,Occasional
177,1,489.31,Churned
260,3,514.85,Churned
44,1,229.64,Occasional
101,1,125.92,Occasional
147,2,1063.46,Churned
95,2,572.2,Occasional
280,1,166.04000000000002,Churned
261,1,1542.08,Churned
2,4,942.34,Occasional
213,1,92.72,Churned
70,2,948.88,Occasional
74,5,1759.5,Occasional
59,1,397.12,Occasional
2,7,1474.72,Occasional
5,3,430.15,Occasional
2,6,1018.71,Occasional
336,2,293.0,Churned
37,6,6814.64,Occasional
261,1,215.05,Churned
31,2,383.03,Occasional
144,1,417.38,Churned
282,1,312.38,Churned
58,4,2610.36,Occasional
172,1,134.1,Churned
33,2,671.95,Occasional
2,14,5591.42,Active valuable
143,4,2726.77,Occasional
4,25,3991.58,Active valuable
69,2,1118.99,Occasional
65,8,1702.26,Occasional
28,2,325.96000000000004,Occasional
266,4,354.09000000000003,Churned
21,1,843.64,Occasional
30,2,1010.29,Occasional
96,1,131.81,Occasional
294,1,311.55,Churned
134,6,1957.1,Occasional
78,3,1316.25,Occasional
372,1,38.1,Churned
7,6,2170.78,Occasional
210,2,1106.4,Churned
51,1,521.2,Occasional
137,1,147.12,Occasional
25,2,1568.23,Occasional
282,1,559.12,Churned
25,7,4009.34,Occasional
185,6,1607.0600000000002,Churned
83,2,380.64,Occasional
326,2,599.97,Churned
281,1,374.0,Churned
142,2,343.2300000000001,Occasional
57,2,2218.02,Occasional
3,12,1535.77,Occasional
235,2,854.99,Churned
44,3,573.22,Occasional
275,1,298.0,Churned
8,2,1463.04,Occasional
24,4,703.47,Occasional
87,1,309.05,Occasional
62,3,1175.22,Occasional
67,2,1378.4,Occasional
213,2,354.12,Churned
23,1,376.72,Occasional
185,3,331.0,Churned
30,1,176.55,Occasional
41,2,372.8,Occasional
204,2,216.5,Churned
8,28,17654.54,Active valuable
264,1,138.68,Churned
17,2,496.06,Occasional
11,5,2919.81,Occasional
175,2,750.0,Churned
39,5,2178.67,Occasional
22,8,3075.04,Occasional
2,5,1662.3,Occasional
4,5,2483.63,Occasional
148,2,363.65,Churned
138,4,2944.95,Occasional
127,1,594.0,Occasional
7,6,1335.19,Occasional
16,1,162.78,Occasional
8,37,16587.09,Active valuable
160,1,405.38,Churned
63,1,172.82,Occasional
87,4,933.7,Occasional
4,2,694.05,Occasional
34,5,2062.7,Occasional
311,1,117.85,Churned
77,2,415.8,Occasional
21,15,42055.96,Active valuable
23,3,607.53,Occasional
1,7,2160.7,Occasional
16,4,1063.9,Occasional
14,4,1504.27,Occasional
25,1,114.14,Occasional
63,8,11581.8,Occasional
54,2,899.69,Occasional
130,3,675.6,Occasional
35,2,604.51,Occasional
287,1,462.95,Churned
143,6,1603.99,Occasional
15,7,2064.95,Occasional
30,8,4167.22,Occasional
1,3,1843.0,Occasional
8,6,1064.07,Occasional
5,4,1387.79,Occasional
9,1,329.85,Occasional
0,11,4757.16,Occasional
305,1,108.07,Churned
9,8,4017.54,Occasional
6,2,266.39,Occasional
7,8,1856.63,Occasional
88,1,769.8100000000001,Occasional
9,1,160.18,Occasional
357,2,1660.9,Churned
111,1,135.95,Occasional
6,4,405.47,Occasional
3,86,11189.91,Active valuable
197,1,144.8,Churned
211,1,738.6,Churned
155,1,39.24,Churned
157,9,7374.900000000001,Occasional
29,2,372.22,Occasional
242,1,390.54,Churned
18,1,97.5,Occasional
0,2,1239.38,Occasional
73,2,558.7,Occasional
291,1,505.82,Churned
2,15,6924.11,Active valuable
30,3,409.5,Occasional
22,2,503.76,Occasional
22,4,414.76,Occasional
3,3,974.42,Occasional
84,1,211.32,Occasional
21,4,1226.89,Occasional
195,3,455.88,Churned
106,3,534.85,Occasional
3,13,9785.97,Active valuable
317,1,120.95,Churned
105,3,149.05,Occasional
11,18,5655.91,Active valuable
173,2,513.7,Churned
55,1,81.57,Occasional
322,1,229.47,Churned
371,1,50.55,Churned
8,8,1646.84,Occasional
0,13,4810.9400000000005,Occasional
10,10,3466.28,Occasional
52,5,3339.64,Occasional
72,3,789.89,Occasional
6,1,204.0,Occasional
15,28,7277.7,Active valuable
3,9,2616.38,Occasional
63,2,689.9,Occasional
0,5,975.36,Occasional
113,6,6912.0,Occasional
22,2,661.3199999999999,Occasional
30,3,1247.5,Occasional
10,2,752.44,Occasional
51,2,1010.18,Occasional
356,1,190.55,Churned
54,2,642.77,Occasional
73,2,921.88,Occasional
137,3,881.07,Occasional
79,3,908.46,Occasional
8,2,676.99,Occasional
272,1,516.42,Churned
290,1,560.47,Churned
98,1,305.28000000000003,Occasional
30,2,629.31,Occasional
31,10,3237.54,Occasional
13,4,1819.41,Occasional
63,2,656.6800000000001,Occasional
14,17,5836.86,Active valuable
211,1,348.15000000000003,Churned
77,3,1214.41,Occasional
24,3,271.40000000000003,Occasional
249,1,183.4,Churned
253,1,307.53000000000003,Churned
71,1,248.61,Occasional
190,1,346.98,Churned
12,4,1105.59,Occasional
372,1,205.86,Churned
23,2,470.8,Occasional
81,1,115.46,Occasional
9,2,344.0,Occasional
0,24,4431.44,Active valuable
191,1,228.8,Churned
266,1,177.15,Churned
129,1,919.61,Occasional
0,4,728.02,Occasional
2,26,12627.94,Active valuable
3,5,220.1,Occasional
178,1,58.08,Churned
11,11,28337.38,Active valuable
125,9,3613.63,Occasional
3,2,303.75,Occasional
157,2,416.08,Churned
2,97,58762.08,VIP
8,14,8910.82,Active valuable
27,1,345.82,Occasional
70,5,477.83,Occasional
275,8,7832.47,Churned
20,12,1927.32,Occasional
70,1,74.39999999999999,Occasional
32,10,6003.22,Occasional
0,28,28882.44,Active valuable
98,1,207.36,Occasional
233,1,101.19,Churned
0,24,6424.09,Active valuable
39,1,243.94,Occasional
2,6,1098.48,Occasional
132,1,76.5,Occasional
43,4,1531.62,Occasional
372,1,350.06,Churned
59,2,786.54,Occasional
30,7,1488.67,Occasional
0,24,12245.96,Active valuable
11,4,2294.78,Occasional
137,1,501.14,Occasional
21,8,984.91,Occasional
19,5,1197.81,Occasional
238,1,30.6,Churned
268,1,283.73,Churned
93,2,922.39,Occasional
89,3,3756.33,Occasional
4,8,2099.64,Occasional
77,1,259.17,Occasional
93,1,64.0,Occasional
22,3,1073.3,Occasional
261,1,77.3,Churned
273,2,109.8,Churned
85,4,1793.58,Occasional
196,1,3096.0,Churned
55,5,2607.61,Occasional
10,8,3603.29,Occasional
21,6,962.39,Occasional
15,7,5064.9400000000005,Occasional
107,3,422.47,Occasional
84,5,2388.75,Occasional
18,1,307.09000000000003,Occasional
332,1,110.95,Churned
39,4,618.52,Occasional
25,1,228.91,Occasional
9,4,712.8,Occasional
28,12,3683.26,Occasional
13,4,1676.06,Occasional
295,1,1257.87,Churned
5,1,486.22,Occasional
32,4,971.76,Occasional
48,4,1741.22,Occasional
94,4,1201.06,Occasional
8,4,1429.35,Occasional
21,1,91.8,Occasional
312,1,112.75,Churned
121,4,1688.29,Occasional
45,2,1021.48,Occasional
282,1,417.2,Churned
18,4,791.33,Occasional
35,4,1299.59,Occasional
63,2,712.88,Occasional
26,1,108.81,Occasional
21,3,468.41,Occasional
3,2,353.65000000000003,Occasional
15,3,2742.82,Occasional
45,1,481.49,Occasional
64,1,282.45,Occasional
25,11,5725.47,Occasional
44,1,121.18,Occasional
7,9,3957.78,Occasional
14,10,1668.95,Occasional
267,1,71.4,Churned
39,3,1575.89,Occasional
336,1,236.02,Churned
10,1,114.6,Occasional
18,2,260.68,Occasional
94,2,911.94,Occasional
60,1,112.08,Occasional
135,1,60.7,Occasional
10,4,1797.78,Occasional
9,6,3401.24,Occasional
3,38,9817.12,Active valuable
18,4,870.09,Occasional
9,4,869.46,Occasional
14,2,250.26,Occasional
58,6,1217.65,Occasional
29,8,5891.61,Occasional
93,1,353.48,Occasional
9,3,1095.42,Occasional
19,3,786.83,Occasional
56,5,1520.58,Occasional
267,1,333.74,Churned
121,3,533.98,Occasional
126,1,62.64,Occasional
77,4,819.2900000000001,Occasional
239,2,847.41,Churned
199,2,163.2,Churned
59,2,2155.95,Occasional
2,7,6463.84,Occasional
272,1,108.21,Churned
201,1,257.7,Churned
80,1,358.0,Occasional
225,1,160.95,Churned
3,14,2755.63,Occasional
12,7,1328.35,Occasional
73,2,605.12,Occasional
211,1,1031.07,Churned
24,2,744.85,Occasional
16,4,700.73,Occasional
261,1,329.56,Churned
95,4,663.65,Occasional
111,3,270.40000000000003,Occasional
202,1,585.12,Churned
92,1,121.74,Occasional
50,1,430.5,Occasional
17,6,1961.52,Occasional
17,4,501.12,Occasional
124,2,465.68,Occasional
91,3,711.41,Occasional
156,2,1030.4,Churned
8,2,399.51,Occasional
11,3,672.83,Occasional
61,1,283.18,Occasional
60,1,557.62,Occasional
268,2,944.1,Churned
262,1,200.29,Churned
0,35,7436.93,Active valuable
52,5,2092.66,Occasional
10,12,3834.26,Occasional
2,19,4521.49,Active valuable
17,11,3174.75,Occasional
0,15,5343.28,Active valuable
365,1,590.0,Churned
36,1,211.49,Occasional
30,2,276.56,Occasional
112,1,138.98,Occasional
63,2,590.9300000000001,Occasional
15,4,258.4,Occasional
40,1,542.73,Occasional
77,1,137.75,Occasional
121,3,798.46,Occasional
17,3,1132.14,Occasional
59,2,93.66,Occasional
330,1,201.19,Churned
22,4,2709.12,Occasional
155,1,361.11,Churned
38,2,578.94,Occasional
189,2,873.74,Churned
359,1,201.2,Churned
136,1,87.4,Occasional
7,4,2089.85,Occasional
0,1,360.0,Occasional
267,1,142.5,Churned
168,1,371.89,Churned
103,4,618.09,Occasional
154,1,63.75,Churned
350,1,300.42,Churned
3,10,2000.86,Occasional
119,1,15.0,Occasional
22,3,1385.51,Occasional
6,5,1456.79,Occasional
27,3,1132.03,Occasional
3,2,598.57,Occasional
21,5,1555.3200000000002,Occasional
1,3,775.94,Occasional
36,4,5732.93,Occasional
65,6,2273.68,Occasional
0,3,640.76,Occasional
4,26,10845.55,Active valuable
77,4,1532.2,Occasional
71,2,567.36,Occasional
16,1,199.48,Occasional
2,5,787.85,Occasional
35,10,7121.95,Occasional
81,1,675.3,Occasional
38,8,3627.77,Occasional
315,1,1308.48,Churned
31,2,789.0,Occasional
92,3,1140.93,Occasional
13,1,350.90000000000003,Occasional
81,3,3502.32,Occasional
76,1,795.12,Occasional
157,1,487.02,Churned
200,1,860.12,Churned
44,7,10736.48,Occasional
260,1,775.85,Churned
177,1,353.43,Churned
67,3,2511.69,Occasional
287,1,389.5,Churned
69,1,341.36,Occasional
63,1,233.76,Occasional
10,1,247.32,Occasional
15,2,979.12,Occasional
65,1,373.94,Occasional
59,1,397.98,Occasional
70,1,743.53,Occasional
121,1,674.7,Occasional
79,1,768.24,Occasional
256,1,609.4,Churned
268,1,439.03,Churned
63,1,439.56,Occasional
8,4,3090.74,Occasional
17,2,992.5,Occasional
70,1,134.96,Occasional
33,2,2225.37,Occasional
49,1,56.16,Occasional
256,2,623.4,Churned
365,1,308.28000000000003,Churned
371,1,754.87,Churned
89,1,378.64,Occasional
60,3,3312.25,Occasional
88,1,778.65,Occasional
98,3,1019.76,Occasional
25,3,572.56,Occasional
31,6,3639.31,Occasional
280,1,222.99,Churned
30,7,4151.93,Occasional
329,1,534.57,Churned
130,2,677.1,Occasional
10,3,797.96,Occasional
74,1,544.08,Occasional
203,1,59.8,Churned
1,8,2520.02,Occasional
184,1,307.72,Churned
28,2,1360.99,Occasional
72,5,1544.13,Occasional
191,1,457.34,Churned
126,2,621.23,Occasional
17,1,75.0,Occasional
0,2,252.49,Occasional
73,3,572.451,Occasional
1,62,28117.04,Active valuable
23,5,1003.06,Occasional
106,1,213.55,Occasional
133,3,1390.5,Occasional
43,2,712.5,Occasional
4,2,640.83,Occasional
11,18,6127.43,Active valuable
63,1,221.06,Occasional
149,2,159.85,Churned
39,2,1833.71,Occasional
63,1,2626.3,Occasional
107,3,1624.21,Occasional
0,10,3641.32,Occasional
18,3,582.6,Occasional
9,1,201.78,Occasional
10,4,1006.8,Occasional
18,2,679.45,Occasional
66,2,1269.1,Occasional
73,2,534.24,Occasional
4,7,3809.89,Occasional
1,1,196.89,Occasional
13,7,3408.06,Occasional
254,1,283.71,Churned
91,1,296.64,Occasional
22,3,1129.14,Occasional
16,6,3534.69,Occasional
23,1,291.88,Occasional
26,6,2043.72,Occasional
25,5,2898.26,Occasional
258,2,590.0,Churned
165,2,356.98,Churned
24,2,1058.34,Occasional
17,6,1766.72,Occasional
6,14,9646.57,Active valuable
28,2,183.44,Occasional
38,3,1445.0,Occasional
252,1,151.5,Churned
57,1,674.68,Occasional
183,1,307.90000000000003,Churned
10,2,1071.91,Occasional
1,37,5704.97,Active valuable
98,2,165.0,Occasional
0,4,2501.84,Occasional
60,2,422.64,Occasional
235,1,226.84,Churned
190,4,1431.78,Churned
178,2,1238.47,Churned
37,6,1454.58,Occasional
200,2,300.95,Churned
45,5,1804.56,Occasional
231,1,184.64,Churned
65,1,140.34,Occasional
240,1,313.8,Churned
232,1,454.24,Churned
77,3,1122.41,Occasional
57,3,575.4,Occasional
16,13,8968.31,Active valuable
104,4,449.52,Occasional
51,10,1215.82,Occasional
135,3,1269.84,Occasional
274,2,618.63,Churned
311,1,316.26000000000005,Churned
7,5,2044.87,Occasional
10,2,653.33,Occasional
282,2,348.05,Churned
17,5,1159.11,Occasional
22,3,1166.77,Occasional
287,1,1340.32,Churned
16,3,292.0,Occasional
70,1,216.85,Occasional
63,1,295.93,Occasional
72,4,4393.63,Occasional
315,2,458.52,Churned
2,4,2479.16,Occasional
243,1,110.97,Churned
8,7,979.72,Occasional
0,4,1791.56,Occasional
260,1,251.21,Churned
126,1,205.1,Occasional
73,1,152.20000000000002,Occasional
72,4,891.12,Occasional
20,3,1389.41,Occasional
59,3,2128.42,Occasional
85,1,627.16,Occasional
77,1,122.75,Occasional
58,6,3624.35,Occasional
0,3,1071.73,Occasional
29,1,125.8,Occasional
32,5,3964.88,Occasional
40,5,680.1800000000001,Occasional
14,2,628.78,Occasional
33,7,2242.36,Occasional
78,2,307.76,Occasional
204,2,483.8,Churned
33,1,210.31,Occasional
182,3,269.09,Churned
1,25,5870.08,Active valuable
0,7,3444.39,Occasional
42,7,1280.85,Occasional
85,3,631.34,Occasional
39,2,276.06,Occasional
11,3,621.09,Occasional
95,2,678.16,Occasional
25,7,918.2,Occasional
318,1,91.8,Churned
65,12,3740.07,Occasional
73,4,4098.88,Occasional
27,2,584.0600000000001,Occasional
5,4,594.52,Occasional
6,1,171.42000000000002,Occasional
215,1,141.86,Churned
81,3,1799.3300000000002,Occasional
83,2,777.53,Occasional
143,3,1724.67,Occasional
18,2,240.22,Occasional
40,2,856.84,Occasional
172,1,187.05,Churned
16,2,338.62,Occasional
242,1,239.49,Churned
12,12,2088.94,Occasional
205,1,1384.25,Churned
49,2,290.25,Occasional
22,5,732.07,Occasional
9,18,6717.34,Active valuable
24,4,1687.6,Occasional
14,2,467.04,Occasional
308,1,118.0,Churned
155,1,781.03,Churned
306,1,142.4,Churned
63,1,712.4,Occasional
15,9,2478.95,Occasional
14,2,379.65,Occasional
10,6,1981.92,Occasional
64,3,1117.13,Occasional
35,4,247.96,Occasional
107,5,2011.88,Occasional
52,1,396.97,Occasional
5,2,664.11,Occasional
46,1,160.04,Occasional
0,21,5149.92,Active valuable
311,1,219.52,Churned
44,2,693.32,Occasional
64,1,428.89,Occasional
25,1,164.34,Occasional
28,3,276.75,Occasional
39,1,675.51,Occasional
11,7,1082.33,Occasional
88,3,1154.4,Occasional
23,4,1585.46,Occasional
318,1,417.69,Churned
39,3,544.18,Occasional
173,1,177.34,Churned
116,1,213.85,Occasional
30,5,727.74,Occasional
252,1,257.23,Churned
58,5,1638.47,Occasional
22,11,7792.36,Occasional
4,7,2031.78,Occasional
99,11,3070.42,Occasional
24,5,2118.93,Occasional
32,5,1547.36,Occasional
67,1,1071.03,Occasional
36,5,949.12,Occasional
51,3,804.3,Occasional
15,1,122.64,Occasional
73,1,1033.34,Occasional
215,1,312.28,Churned
30,3,519.44,Occasional
15,4,2624.26,Occasional
119,1,252.1,Occasional
9,4,1648.12,Occasional
256,2,346.6,Churned
16,6,1836.34,Occasional
34,2,94.2,Occasional
45,3,1095.08,Occasional
42,6,2707.33,Occasional
113,2,932.97,Occasional
164,2,379.65,Churned
10,2,382.14,Occasional
9,5,2639.17,Occasional
205,2,1563.0,Churned
85,3,881.26,Occasional
178,1,189.47,Churned
59,3,84.65,Occasional
148,1,299.05,Churned
2,21,6309.83,Active valuable
50,2,218.55,Occasional
74,1,349.7,Occasional
300,2,186.39,Churned
18,2,387.44,Occasional
150,2,486.8200000000001,Churned
151,1,232.6,Churned
0,4,3719.12,Occasional
17,4,827.83,Occasional
186,1,59.5,Churned
285,1,65.13,Churned
2,7,3119.44,Occasional
182,1,72.0,Churned
62,1,910.0,Occasional
58,1,172.25,Occasional
24,3,1488.32,Occasional
3,50,65039.62,Active valuable
30,15,2504.13,Occasional
38,1,151.3,Occasional
154,1,308.58000000000004,Churned
25,10,2248.63,Occasional
317,1,99.5,Churned
4,9,2308.06,Occasional
7,3,711.86,Occasional
302,1,330.79,Churned
266,2,806.41,Churned
270,1,285.33,Churned
3,13,6307.650000000001,Occasional
31,1,180.48,Occasional
218,2,252.06,Churned
246,1,228.84,Churned
280,5,1077.39,Churned
268,1,138.28,Churned
31,6,1445.01,Occasional
245,2,306.55,Churned
14,5,1041.68,Occasional
116,4,799.9,Occasional
35,1,524.14,Occasional
131,3,2375.41,Occasional
216,1,199.85,Churned
49,8,1980.56,Occasional
38,2,1079.66,Occasional
28,2,333.48,Occasional
36,6,1016.14,Occasional
135,2,752.6,Occasional
218,2,610.59,Churned
27,1,491.86,Occasional
24,4,2883.54,Occasional
4,2,729.8,Occasional
199,1,339.6,Churned
17,1,216.9,Occasional
240,1,350.75,Churned
71,3,668.4300000000001,Occasional
16,12,3107.87,Occasional
2,7,1341.6,Occasional
94,2,1080.52,Occasional
